OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU4.18871337698455e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	uncultured bacterium	36
OTU5.93207311408428e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	uncultured bacterium	914
OTU7.08237696686236e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium	4
OTU3.74185111953139e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	uncultured bacterium	467
OTU2.11042451891856e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Ambiguous_taxa	83
OTU9.97405222906707e+32	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Ambiguous_taxa	81
OTU3.86253442864284e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA	1101
OTU9.42909466696694e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	uncultured bacterium	6698
OTU8.90720476956726e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Ambiguous_taxa	3644
OTU2.85676267789537e+32	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	uncultured bacterium	9
OTU8.16400847575501e+32	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	uncultured bacterium	3973
