OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU1.80003067690492e+32	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	Sterigmatomyces_halophilus	131
OTU5.97898498872716e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_flaviporus	13457
OTU7.88762859682507e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_pseudobyssoides	427
OTU8.34929327656617e+31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	261
OTU1.55735514651269e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa	837
OTU4.01382939612045e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	161
OTU4.37436120013796e+32	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Hansfordia	Hansfordia_pulvinata	13
OTU5.44523761888474e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	Hyphoderma_setigerum	137
OTU1.88210734584946e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	8156
OTU9.70312228093107e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	unidentified	unidentified	591
OTU3.36178940058428e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	unidentified	5616
OTU4.95172151938981e+32	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	unidentified	30
OTU6.96242521884042e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	340
OTU7.471377832162e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	369
OTU6.88897976770676e+32	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Sistotrema	unidentified	670
OTU1.58390735388135e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	unidentified	unidentified	unidentified	47
OTU6.45472933681276e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_calidophila	42
OTU6.67061391178933e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora_luzardii	3463
OTU8.94799998554106e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	108
OTU3.53468521851468e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus_crinitus	556
OTU2.76091369036902e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Xenodidymella	Xenodidymella_saxea	110
OTU3.08635224471868e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	315
OTU3.16000059059547e+32	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	unidentified	516
OTU2.51305646445275e+32	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_jirovecii	26
OTU5.76943944737504e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus_gilvus	165
OTU7.385146091178e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	271
OTU9.17457697876078e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei	305
